V2,V1,Locus ID,Full name,Functionnal category,Symbol,Synonyms
VIT_200s1492g00010,VIT_00s1492g00010,Vitvi00s1492g00010,Chalcone synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_200s1492g00010,VIT_00s1492g00010,Vitvi00s1492g00010,Chalcone synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_203s0038g01460,VIT_03s0038g01460,Vitvi03s0038g01460,Chalcone synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_205s0136g00260,VIT_05s0136g00260,Vitvi05s0136g00260,Chalcone synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_214s0068g00920,VIT_14s0068g00930,Vitvi14s0068g00930,Chalcone synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0100g00860,VIT_16s0100g00860,Vitvi16s0100g00860,Chalcone synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_214s0068g00920,VIT_14s0068g00920,Vitvi14s0068g00920,Chalcone synthase (CHS),Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01000,VIT_16s0022g01000,Vitvi16s0022g01000,Chalcone synthase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01020,VIT_16s0022g01020,Vitvi16s0022g01020,Chalcone synthase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01070,VIT_16s0022g01070,Vitvi16s0022g01070,Chalcone synthase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01140,VIT_16s0022g01140,Vitvi16s0022g01140,Chalcone synthase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01190,VIT_16s0022g01190,Vitvi16s0022g01190,Chalcone synthase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_207s0151g01060,VIT_07s0151g01060,Vitvi07s0151g01060,Chalcone isomerase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_214s0066g00400,VIT_14s0066g00400,Vitvi14s0066g00400,Chalcone isomerase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_219s0014g00100,VIT_19s0014g00100,Vitvi19s0014g00100,Chalcone isomerase 3,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_213s0067g02870,VIT_13s0067g02870,Vitvi13s0067g02870,Chalcone-flavanone isomerase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_213s0067g03820,VIT_13s0067g03820,Vitvi13s0067g03820,Chalcone--flavonone isomerase (Chalcone isomerase),Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_204s0023g03370,VIT_04s0023g03370,Vitvi04s0023g03370,Flavonone- 3-hydroxylase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_218s0001g14310,VIT_18s0001g14310,Vitvi18s0001g14310,Flavonone- 3-hydroxylase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02805,,Vitvi06s0009g02805,"Flavonoid 3',5'-hydroxylase-like",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02846,,Vitvi06s0009g02846,"Flavonoid 3',5'-hydroxylase-like",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03013,,Vitvi06s0009g03013,"Flavonoid 3',5'-hydroxylase-like",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02873,,Vitvi06s0009g02873,"flavonoid 3',5 -hydroxylase 2-like",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03016,,Vitvi06s0009g03016,"flavonoid 3',5 -hydroxylase 2-like",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_217s0000g07210,VIT_17s0000g07210,Vitvi17s0000g07210,flavonoid 3'-hydroxylase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_200s1682g00020,VIT_00s1682g00020,Vitvi00s1682g00020,flavonoid 3'-hydroxylase cytochrome P450,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_200s1682g00020,VIT_00s1682g00020,Vitvi00s1682g00020,flavonoid 3'-hydroxylase cytochrome P450,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_205s0094g01200,VIT_05s0094g01200,Vitvi05s0094g01200,flavonoid 3'-hydroxylase cytochrome P450,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_205s0094g01180,VIT_05s0094g01180,Vitvi05s0094g01180,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02810,VIT_06s0009g02810,Vitvi06s0009g02810,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02830,VIT_06s0009g02830,Vitvi06s0009g02830,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02840,VIT_06s0009g02840,Vitvi06s0009g02840,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02880,VIT_06s0009g02880,Vitvi06s0009g02880,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02910,VIT_06s0009g02910,Vitvi06s0009g02910,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02970,VIT_06s0009g02970,Vitvi06s0009g02970,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03000,VIT_06s0009g03000,Vitvi06s0009g03000,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03040,VIT_06s0009g03040,Vitvi06s0009g03040,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03050,VIT_06s0009g03050,Vitvi06s0009g03050,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_208s0007g05160,VIT_08s0007g05160,Vitvi08s0007g05160,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01540,VIT_16s0022g01540,Vitvi16s0022g01540,"Flavonoid 3',5'-hydroxylase",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02860,VIT_06s0009g02860,Vitvi06s0009g02860,"flavonoid 3',5'-hydroxylase [Vitis vinifera]",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g02920,VIT_06s0009g02920,Vitvi06s0009g02920,"flavonoid 3',5'-hydroxylase [Vitis vinifera]",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03010,VIT_06s0009g03010,Vitvi06s0009g03010,"flavonoid 3',5'-hydroxylase [Vitis vinifera]",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01500,VIT_16s0022g01500,Vitvi16s0022g01500,"flavonoid 3',5'-hydroxylase -like protein",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_216s0022g01510,VIT_16s0022g01510,Vitvi16s0022g01510,"flavonoid 3',5'-hydroxylase -like protein",Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_206s0009g03140,VIT_06s0009g03140,Vitvi06s0009g03140,flavonoid 3'5' hydroxylase [Vitis vinifera],Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_203s0017g00710,VIT_03s0017g00710,Vitvi03s0017g00710,flavonol synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_207s0031g00100,VIT_07s0031g00100,Vitvi07s0031g00100,flavonol synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_210s0003g02410,VIT_10s0003g02430,Vitvi10s0003g02430,flavonol synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_210s0003g02450,VIT_10s0003g02450,Vitvi10s0003g02450,flavonol synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
VIT_213s0047g00210,VIT_13s0047g00210,Vitvi13s0047g00210,flavonol synthase,Metabolism,Secondary metabolism,Phenylpropanoid metabolism
