Genes,InPathway,Rank
VIT_14s0068g00920,True,24
VIT_06s0004g02620,False,23
VIT_18s0001g09400,False,22
VIT_04s0023g03370,True,21
VIT_03s0088g00260,False,20
VIT_15s0046g00170,True,19
VIT_18s0001g14310,True,18
VIT_00s0361g00040,True,17
VIT_06s0009g03040<br>VIT_06s0009g03050<br>VIT_06s0009g02830<br>VIT_06s0009g03000<br>VIT_06s0009g02920<br>VIT_06s0009g02840<br>VIT_06s0009g03110<br>VIT_06s0009g02880<br>VIT_06s0009g02860<br>VIT_06s0009g02810<br>VIT_06s0009g02970,True,16
VIT_01s0010g03510,True,15
VIT_05s0136g00260,True,14
VIT_16s0050g00910,True,13
VIT_14s0068g00930,True,12
VIT_04s0079g00690,True,11
VIT_06s0009g03010,True,10
VIT_01s0011g02960,True,9
VIT_14s0060g00900,False,8
VIT_02s0025g04720,True,7
VIT_13s0064g01480,False,6
VIT_02s0012g01570,False,5
VIT_16s0100g00270,False,4
VIT_16s0022g01070,True,3
VIT_12s0028g01150,False,2
VIT_03s0091g01290,False,1
VIT_07s0005g06460,False,0
